timestamp,temperature,production_rate,energy_consumption_kwh,energy_price_omr_per_kwh,day_of_week
2023-01-01 00:00:00,16.95886774457664,17.338248279497762,40.28022645883159,0.08,6
2023-01-01 01:00:00,14.406273287034754,20.149006521613117,36.24170507306391,0.08,6
2023-01-01 02:00:00,15.760584892981106,20.643226005661198,36.12474855864155,0.08,6
2023-01-01 03:00:00,19.070668408317818,24.743534459317047,49.13410249188614,0.08,6
2023-01-01 04:00:00,20.43991093431407,23.688158241483535,37.50334266051311,0.08,6
2023-01-01 05:00:00,23.294065572011835,26.835933412460697,54.38956286264156,0.08,6
2023-01-01 06:00:00,24.71874201580085,17.015661103436987,44.550937420301345,0.08,6
2023-01-01 07:00:00,28.299800971221593,26.76390987476119,66.67837726709813,0.08,6
2023-01-01 08:00:00,30.076064813006763,19.967221720109002,61.7025323512306,0.15,6
2023-01-01 09:00:00,32.515982919000066,22.44869595895539,70.91445241595808,0.15,6
2023-01-01 10:00:00,34.458390727401834,23.938218740567795,72.67668236942782,0.15,6
2023-01-01 11:00:00,35.654652835864084,27.094359691223058,72.80493505991421,0.15,6
2023-01-01 12:00:00,35.0770951118446,16.69875325493799,71.44961426178472,0.08,6
2023-01-01 13:00:00,33.83631086933937,19.116369255158165,65.61361566826797,0.08,6
2023-01-01 14:00:00,33.2500469189101,9.101500854554615,58.46814647386604,0.08,6
2023-01-01 15:00:00,33.58714166859639,21.940789681759785,58.685545152871995,0.08,6
2023-01-01 16:00:00,28.293230728172507,14.86877294772259,54.46749338228002,0.08,6
2023-01-01 17:00:00,28.760880970819247,25.599352131542346,64.17894751168792,0.15,6
2023-01-01 18:00:00,24.311681928288593,24.871253771863607,50.85874288424907,0.15,6
2023-01-01 19:00:00,23.049543115958762,11.09140449221971,49.08537591429261,0.15,6
2023-01-01 20:00:00,20.125785235744143,27.65274224331627,57.83815699630123,0.15,6
2023-01-01 21:00:00,18.16985451930434,23.225158397210205,42.297018293203315,0.15,6
2023-01-01 22:00:00,15.872893681966957,22.463186687469786,45.78686140272907,0.08,6
2023-01-01 23:00:00,14.683060016469533,23.028777940826448,41.33347226049435,0.08,6
2023-01-02 00:00:00,13.238658372561009,82.12401003668293,97.00727985880451,0.08,0
2023-01-02 01:00:00,13.52091834063754,85.27847287243617,92.41287233176412,0.08,0
2023-01-02 02:00:00,15.762087279975892,79.89812089176533,75.20603720217477,0.08,0
2023-01-02 03:00:00,16.793294909652857,78.38590823330082,78.15878877339712,0.08,0
2023-01-02 04:00:00,19.80340717401355,73.57414200735411,89.79338116432001,0.08,0
2023-01-02 05:00:00,23.664001493374947,85.83095470171956,105.7065127619117,0.08,0
2023-01-02 06:00:00,22.68572161509012,82.67276410841932,94.79488162726929,0.08,0
2023-01-02 07:00:00,26.187013811818147,81.60283776973539,104.49779495804404,0.08,0
2023-01-02 08:00:00,29.212138010114796,79.35364700639346,99.4326350909699,0.15,0
2023-01-02 09:00:00,32.56481365395666,88.39868324581425,119.24652716362561,0.15,0
